Item,Quantity,Reference,ASSY,Value,Rating,PCB Footprint,PN,Part Type,Manufacturer,Manufacturer Part Number,Description,Temperature
97,1,U3,,LM5141RGER,,vqfn24_0d5_4x4x1mm,310032354,DCDC,TI,LM5141RGER,"SMD IC DCDC;Synchronous Buck Controller,External Switch,3.8V to 65V;QFN24",-40°C to 125°C
98,1,U22,,TPS2553DBVR,,sot23_6,310032355,Power Switch,TI,TPS2553DBVR,"SMD IC PMIC;75mA to 1.5A adjustable limit,2.5 to 6.5V high-enable power switch,85 mΩ;SOT23-6",-40°C to 85°C
99,1,U5,,TPS22918DBVR,"5.5V,2A",sot23_6,310032357,Power Switch,TI,TPS22918DBVR,"SMD IC Load Switch;1V to 5.5V,2A,52mOhm;SOT-23-6",-40°C to 105°C
100,1,U28,,TPS62813QWRWYRQ1,3A,vqfnhr9_0d55_3x2x1mm,310032371,DCDC,TI,TPS62813QWRWYRQ1,"SMD IC PMIC;DCDC;Automotive 2.75V to 6V, 3-A step-down converter with fixed Fsw and SYNC;VQFN 3mm*2mm",-40°C to 125°C
101,1,U29,,TPS65941111RWERQ1,2.8V to 5.5V,vqfn56_0d5_8x8x0_9mm,310032382,PMIC,TI,TPS65941111RWERQ1,"SMD IC PMIC;Automotive,2.8V to 5.5V,5 buck & 4 LDO;VQFNP (56)",-40°C to 125°C
102,1,U30,,TPS65941213RWERQ1,2.8V to 5.5V,vqfn56_0d5_8x8x0_9mm,310032383,PMIC,TI,TPS65941213RWERQ1,"SMD IC PMIC;Automotive,2.8V to 5.5V,5 buck & 4 LDO;VQFNP (56)",-40°C to 125°C
103,2,"U31,U33",,SN74LVC2G241DCUR,,U_8_DCU,310050078,Buffer,TI,SN74LVC2G241DCUR,SMD IC Logic;Dual Buffer/Driver With 3-State Outputs;US8(8-VFSOP),-40°C to 125°C
104,3,"U11,U12,U27",,SN74LVC1G07DCKR,,DCK5_2P15X1P4,310050079,Buffer,TI,SN74LVC1G07DCKR,SMD IC Logic;Single Buffer/Driver With Open-Drain Output;SC-70-5,-40°C to 125°C
105,1,U2,,TXS0104ERGYR,,qfn14_0d5_3_5x3_5x1mm,310050790,Buffer,TI,TXS0104ERGYR,SMD IC Logic;4-bit bidirectional voltage-level shifter for open-drain and push-pull application;14-VFQFN,-40°C to 85°C
106,2,"U6,U16",,SN74LVC1G08DCKR,,DCK5_2P15X1P4,310050811,Buffer,TI,SN74LVC1G08DCKR,SMD IC Logic;Single 2-Input Positive-AND Gate;SC70-5,-40°C to 125°C
107,1,U14,,SN74LVC2G74DCUR,,so8_0d5_2_3x2x0_9mm,310051070,Flip-Flop,TI,SN74LVC2G74DCUR,SMD IC Logic;D-Type Flip-Flop;US8,-40°C to 125°C
108,1,U24,,SN74LVC1G17DCKR,,sc70_5,310051133,Schmitt-Trigger Buffer,TI,SN74LVC1G17DCKR,SMD IC Logic;Single Schmitt-Trigger Buffer-SC-70-5,-40°C to 85°C
109,1,U21,,TUSB322IRWBR,,x2qfn12_0d4_1_6x1_6x0_4mm,310051210,Type C CC,TI,TUSB322IRWBR,"SMD IC Logic;USB Type-C Configuration Channel Logic and Port Control with VCONN,IIC Control;X2QFN(12)",-40°C to 85°C
110,1,U8,,MAX6817EUT+T,,sot23_6,310070047,Debouncers,Maxim,MAX6817EUT+T,"SMD IC Interface;±15kV ESD-Protected,Dual CMOS Switch Debouncers;SOT23-6",-40°C to 125°C
111,1,U20,,TUSB8041RGCR,,qfn64_0d5_9x9x1mm,310070813,USB3.0 HUB,TI,TUSB8041RGCR,"SMD IC Interface,4-port 5-Gbps SuperSpeed USB 3.0 hub;VQFN-64",0°C to 70°C
112,1,U26,,EMMC16G-TB29-PZ90,,BGA153_P14_P5_11P5X13,310091085,eMMC,Kingston,EMMC16G-TB29-PZ90,SMD IC Memory;16GB eMMC 5.1;VFBGA-153,-25°C to 85°C
113,1,U25,,Q3222PM1WDGTK-U,3200Mbps,bga200_0d65_15x10x1mm,310091190,LPDDR4,Kingston,Q3222PM1WDGTK-U,SMD IC Memory;LPDDR4 4GB(16bits x 2 channels) 1600MHz 3200Mbps;WFBGA-200 (10X14.5),-25℃ to 85℃
114,1,U7,,24FC04HT-I/OT,,sot23-5,310091246,EEPROM,Microchip,24FC04HT-I/OT,"SMD IC Memory;IIC Serial EEPROM with WP,4Kbit,1.7V to 5.5V,1MHz;SOT-23-5",-40°C to 85°C
115,1,U34,,SN74CBTLV1G125DBVR,3.3V,SOT23-5,310100607,Switch,TI,SN74CBTLV1G125DBVR,"SMD IC Switch;3.3V,1:1 (SPST),1-Channel FET Bus Switch;SOT-23-5",-40°C to 85°C
116,1,U32,,TXB0108RGYR,,VQFN-20,310990884,Buffer,TI,TXB0108RGYR,"SMD IC Level Shifter, 8-bit, 20-UQFN",-40°C to 85°C
117,3,"SW1,SW2,SW3",,Tactile Switch,,SW_4P,311020009,Tactile Switch,ALPS,SKRPADE010,SMD Top Button 4N;4P-L4.6*W3.2*H2.5mm,-20°C to 70°C
118,1,PCB1,,BeagleBone AI-64_PCB,,NA,319015025,PCB,,102.5*80*2.0mm-Immersion Gold-FR4,"PCB;BeagleBone AI-64_Rev B1-White Soldermask,Black Silkscreen-14 Layers",
119,1,J8,,UAA111C-84161-4H,,USB3_1_2d0_17_5x13_6x15_69mm,320011000,USB,FOXCONN,UAA111C-84161-4H,"DIP USB - A,Stacked USB 3.0-R/A;18+4P",-55°C to 85°C
120,1,J7,,3VM11201-D730-7H,,DP20_0d6_9_8x11_8x5_9mm,320011138,Display Port,FOXCONN,3VM11201-D730-7H,SMD+DIP Mini Display Port;20P+4-L11.81*W9.85*H5.90mm-90D,-40°C to 85°C
121,1,J5,,UBF31-2347-1,,usb_mtconn_ubf31-2347-1,320011158,Type C,MTCONN,UBF31-2347-1,"SMD+DIP USB Type-C;Female,Full Pin,Flat Insert;24P-10*10.1*3.16mm",-55°C to 85°C
122,1,J1,,Header 4P 1.25MM,,header4_2p_1d25_smd_10x5_3x3_6mm,320030684,Header,SINOTOP,1.25T-1-4A,SMD Female Header-White;4P-1.25mm-L10.05*5.3*3.6mm-90D,-40°C to 85°C
123,2,"J2,J3",,B3B-ZR(LF)(SN),,con3b35x60,320031246,Header,JST,B3B-ZR(LF)(SN),DIP Female Header-Natural;3P-1.5mm,-25°C to 85°C
124,1,P8,,Header 2x23 2.54mm,,HEADER2X23P_2D54_SMD_PTH,320031344,Header,SINOTOP,ST-FH-254-0182-2*23,SMD+DIP Black Female Header;2*23P-2.54*8.5-3.0mm,-40°C to 105°C
125,1,P9,,Header 2x25 2.54mm,,HEADER2X25P_2D54_SMD_PTH,320031345,Header,SINOTOP,ST-FH-254-0182-2*25,SMD+DIP Black Female Header;2*25P-2.54*8.5-3.0mm,-40°C to 105°C
126,3,"J13,J15,J16",,FPC 22P 0.5mm,,fpc22_0d5_15_4x5_25x2mm_0d5_dx_npwb,320060764,FPC Connector,SHENZHEN BEST,0.5K-DX-22PWB,SMD FPC CONN;22P-0.5mm-90D-Bottom Contact-L16.40*W5.25*H2.00mm,-25°C to 85°C
127,1,J12,,YL004-030-001,,MICRO_SD_15x14_3x1_8mm,320090416,SD Card,YuLiang,YL004-030-001,"SMD SD Card Holder;Reverse-Bottom,8P-14.3*16mm",-20°C to 85°C
128,1,J4,,AS0BC27-S40BE-7H,,CON_MINIPEX_067_SMT_RA_M2_KEYE_C,320111630,M.2,FOXCONN,AS0BC27-S40BE-7H,SMD Connector Black m.2 E-key;67P-0.5mm,-40°C to 80°C
129,1,J6,,DC630-20D01,,conn3-pwr-dc630,320120067,Power Jack,MTCONN,DC630-20D01,DIP DC Power Jack;3P-2.0-6.3mm;L9*14.7*H11mm,-40°C to 85°C
130,1,J9,,LPJG0933HENL,,rj45_18p_LPJG0801HBNL,320140497,RJ45,LINK-PP,LPJG0933HENL,"DIP RJ45;1000M,Integrated Magnetics,G/Y 2 LEDs,Right Angle,Voltage Type;16+2P-21.25*15.93*13.3mm",0°C to 70°C
131,1,J10,,Header 2x8 1.27mm,,header2x8_smd_1d27,320150353,Header,SINOTOP,ST-BF-127-2x8A-C,SMD Box Header with 3 slots;2*8P-1.27mm,-40°C to 105°C
132,1,MH8_SW,,Screw,,NA,326020442,Screw,,,Screw; Machine screw-CM2xH3mm-iron-black,
133,1,MH8,,2E0BC21-A40TP-7H,,PTH_4_2MM_5D8,326050927,Stud,FOXCONN,2E0BC21-A40TP-7H,"SMD Stud;M2 screw bolt, D5.5x2.45mm",
134,4,"MH4,MH5,MH6,MH7",,SMSR3066MTJ,D6*1MM+D4.2*6.6MM,PTH_4_45mm_6d5,326050947,STUD,Sinhoo,SMSR3066MTJ,"SMD Stud; M3 screw bolt, D6*1MM+D4.2*6.6MM, tinned iron, mylar covered",
135,1,Label 2,,SN Label,,NA,327131816,SN Label,,,SN label;300°C Resistance-7*14mm,
136,1,Label 1,,DC 5V Label,,NA,327132464,5V Label,,,DC label;5V-25#-12*8mm,
